dataset,dataset_key,embedding,n,v_true_b,v_true_agent,true_effect,previous_best_estimator,previous_best_v_hat,previous_best_bias,previous_best_abs_bias,previous_best_rel_bias,previous_best_direction_correct,mdr_v_hat,mdr_bias,mdr_abs_bias,mdr_rel_bias,mdr_direction_correct,mdr_minus_previous_abs_bias,winner
ACI-Bench,aci_bench,BGE-M3,207,0.74231884057971,0.8726570048309179,0.13033816425120792,MIPS,0.7834644357482018,-0.08919256908271611,0.08919256908271611,-0.10220804805204957,True,0.7582660169481378,-0.11439098788278013,0.11439098788278013,-0.13108356118099804,True,0.025198418800064015,Previous best
ACI-Bench,aci_bench,BGE-M3 + learned concat-PCA,207,0.74231884057971,0.8726570048309179,0.13033816425120792,MIPS,0.7882029712104242,-0.08445403362049375,0.08445403362049375,-0.0967780389694542,True,0.773068932958884,-0.09958807187203389,0.09958807187203389,-0.11412052080110172,True,0.015134038251540138,Previous best
Ayers AskDocs,ayers_askdocs,BGE-M3,195,0.4254273504273504,0.7232905982905984,0.29786324786324797,MIPS,0.6192664984179197,-0.10402409987267869,0.10402409987267869,-0.1438206166629649,True,0.5542773689751228,-0.16901322931547558,0.16901322931547558,-0.23367264791622616,True,0.06498912944279689,Previous best
Ayers AskDocs,ayers_askdocs,BGE-M3 + learned concat-PCA,195,0.4254273504273504,0.7232905982905984,0.29786324786324797,MIPS,0.646397629625929,-0.07689296866466944,0.07689296866466944,-0.10630992418039968,True,0.5599689518531586,-0.16332164643743974,0.16332164643743974,-0.22580363525176303,True,0.0864286777727703,Previous best
CounselBench-Eval pooled,counselbench_pooled,BGE-M3,300,0.5190666666666668,0.7208277777777777,0.20176111111111095,MIPS,0.584944314255381,-0.13588346352239677,0.13588346352239677,-0.18851030400258514,True,0.5496226444267447,-0.17120513335103305,0.17120513335103305,-0.23751184211967682,True,0.03532166982863627,Previous best
CounselBench-Eval pooled,counselbench_pooled,BGE-M3 + learned concat-PCA,300,0.5190666666666668,0.7208277777777777,0.20176111111111095,MIPS,0.6316767493286968,-0.08915102844908096,0.08915102844908096,-0.12367868053576192,True,0.5555520293523574,-0.16527574842542037,0.16527574842542037,-0.22928604240938788,True,0.0761247199763394,Previous best
MTS-Dialog,mts_dialog,BGE-M3,142,0.4397183098591549,0.7873943661971831,0.34767605633802817,MIPS,0.6472244304852284,-0.14016993571195469,0.14016993571195469,-0.17801744809138328,True,0.5326949656623142,-0.25469940053486884,0.25469940053486884,-0.3234712000353401,True,0.11452946482291415,Previous best
MTS-Dialog,mts_dialog,BGE-M3 + learned concat-PCA,142,0.4397183098591549,0.7873943661971831,0.34767605633802817,MIPS,0.653549325006946,-0.1338450411902371,0.1338450411902371,-0.16998475851009454,True,0.5174964356309814,-0.2698979305662017,0.2698979305662017,-0.3427735098864202,True,0.1360528893759646,Previous best
PriMock57,primock57,BGE-M3,48,0.6072916666666667,0.865625,0.2583333333333333,MIPS,0.5652003174419911,-0.3004246825580089,0.3004246825580089,-0.34706100512116556,False,0.556584751842561,-0.309040248157439,0.309040248157439,-0.35701400509162634,False,0.008615565599430108,Previous best
PriMock57,primock57,BGE-M3 + learned concat-PCA,48,0.6072916666666667,0.865625,0.2583333333333333,DM,0.6086433746911063,-0.2569816253088937,0.2569816253088937,-0.29687407977922736,True,0.6086430397868029,-0.2569819602131971,0.2569819602131971,-0.29687446667228545,True,3.349043034006627e-07,Previous best
